year,milestoneID,otter_pcb,otter_pcb_vis_value,otter_pcb_trend,otter_ddt,otter_ddt_vis_value,otter_ddt_trend,milestoneID1,greyseal_pcb,greyseal_pcb_vis_value,greyseal_pcb_trend,greyseal_ddt,greyseal_ddt_vis_value,gresyseal_ddt_trend,milestoneID2,eagle_pcb,eagle_pcb_vis_value,eagle_pcb_trend,eagle_ddt,eagle_ddt_vis_value,eagle_ddt_trend
1965,,,,79.26021137844783,,,44.460358436044345,,,,135.3054915147168,,,273.6684283215963,,490,49,1374.2625938984538,507,50.7,1064.7529344285492
1966,,,,74.73529354162744,,,40.7303346453887,,,,128.87734626918697,,,247.20270808738272,,1238,123.8,1327.0708291275832,1222,122.2,995.879161469271
1967,,,,70.4687005448998,,,37.3132430480007,,,,122.75459181626317,,,223.29641479112985,,,,1281.499615386827,,,931.4605033523785
1968,,26.191601707417586,,66.44568477838021,4.806662043455937,,34.1828300425408,,,,116.92271953290455,,,201.7020333003214,,,,1237.4933034404764,,,871.2087800144346
1969,,10.000000000000002,,62.65234056437282,6.700000000000001,,31.315044586559225,,46.99999999999999,,111.3679100773097,220.00000000000009,,182.19598498946084,,1137,113.7,1194.9981550308664,866,86.6,814.8544523815668
1970,M01,117.84735890124988,,59.075556091964806,2.0976176963403033,,28.68785341172127,M01,109.00768700084775,,106.07700064226887,281.63570244483276,,164.57631290634563,M01,884,88.4,1153.9622772559615,572,57.2,762.145416572893
1971,,,,55.70296809564637,,,26.281071741652433,,77.40863168742828,,101.03745376427317,234.3102369199284,,148.66059079959498,,1094,109.4,1114.335559200398,634,63.4,712.8458761014051
1972,,27.02636738612117,,52.52291912130861,0.5001292498747724,,24.07620821178897,,,,96.23732761444283,,,134.28403435833616,,1395,139.5,1076.0696107425974,1043,104.3,666.7352870266582
1973,,50.7048444066106,,49.524417231892095,3.243119959183283,,22.05632279975473,,,,91.66524770089408,,,121.29779510872523,M02,1025,102.5,1039.117703463224,635,63.5,623.6073713404925
1974,,196.8076489194459,,46.6970980134165,4.956872717027761,,20.205896674742473,,91.8747599075343,,87.31037991546701,130.6314786189042,,109.56741930300008,,1084,108.4,1003.4347135828292,634,63.4,583.2691941722007
1975,,72.18240676039359,,44.031188750069965,1.652427407773709,,18.51071296593959,M03,96.73277945978842,,83.16240486097362,142.62092872714894,,98.97145584516801,,635,63.5,968.9770668589996,386,38.6,545.5403006847013
1976,,86.06256357100308,,41.51747464451091,3.633679127812818,,16.957747533952045,,59.05396446479595,,79.21149339810884,60.688479066441054,,89.40019884034591,,1043,104.3,935.7026853757204,576,57.6,510.25190880094476
1977,,30.515353671007183,,39.147266966642306,1.8622659198364744,,15.535068906010673,,72.34209090420116,,75.44828335409531,97.02652486236414,,80.75455174870824,,1133,113.3,903.5709361599766,589,58.9,477.24615414889894
1978,M04,46.345030879624616,,36.91237302074684,1.1804602267661721,,14.231746606163512,M04,61.05936743954478,,71.86385733785144,69.01683859475759,,72.94500138395404,M04,999,99.9,872.5425815628437,580,58,446.37538384743505
1979,,30.40920773713871,,34.80506782718081,1.877265528167949,,13.037767176151698,,75.33749290690147,,68.4497216091364,80.699559512089,,65.89069113358269,,1376,137.6,842.5797313444782,623,62.3,417.5014959738892
1980,,289.99999999999994,,32.818067420748115,2.46,,11.943957241757435,,86.16213973059106,,65.19778595158124,58.00541823083263,,59.51858380547275,,996,99.6,813.6457964044939,401,40.1,390.49532175818035
1981,,120.82761235960545,,30.944503673446572,1.3324289005285823,,10.941913033535062,,72.8884907908942,,62.10034450192548,62.21028191671315,,53.76270543326393,,1195,119.5,785.705444101224,478,47.8,365.2360477399617
1982,,51,,29.177900554575675,1.38,,10.023935820439025,,69.00000000000001,,59.15005749001659,29.171904291629634,,48.563462211246595,,1111,111.1,758.7245551053054,370,37,341.6106753035975
1983,,34.233046115825736,,27.512151746135828,0.7398498151032917,,9.182972760277755,,46.99999999999999,,56.339933846321685,23,,43.86702348658196,,498,49.8,732.6701817348994,225,22.5,319.51351517324036
1984,,29.544038410159462,,25.941499536151312,0.8875266936360525,,8.412562712548123,,79.25291841428879,,53.663314635722905,38.237496874603785,,39.62476442066128,,825,82.5,707.5105077216671,302,30.2,298.8457146066486
1985,,32.40251602917831,,24.460514916964566,1.3067144528840684,,7.706786597330217,,68.72586788451136,,51.11385727835117,30.572264634597474,,35.79276254914192,,746,74.6,683.2148093583595,255,25.5,279.51481517248254
1986,,3.3199999999999994,,23.064078819701265,0.24,,7.0602219188447926,M05,54.23788800389582,,48.68552052005496,21.62227796653566,,32.33134302828273,,943,94.3,659.7534179806378,324,32.4,261.4343391329624
1987,,7.53418874199472,,21.747364420053884,0.24899799195977468,,6.46790110428182,,60.280726739721935,,46.37255011690545,23.609413351917127,,29.20466785924425,,796,79.6,637.0976837371569,281,28.1,244.523402581408
1988,,,,20.50582045421392,,,5.925273337812433,,50.163486720920815,,44.16946519980331,27.625423073683418,,26.380364837385983,,616,61.6,615.2199406038733,201,20.1,228.70635360406877
1989,M06,16.723283448929685,,19.33515548728779,0.825034391954705,,5.4281695965555885,,45.092377708046854,,42.07104528688478,18.686322233803942,,23.829192384849808,,555,55.5,594.0934725997007,199,19.9,213.9124338475278
1990,,19.92346600452793,,18.23132307982194,0.44668766512550673,,4.972770619869478,,53.482290526865036,,40.07231791294117,18.608105760662475,,21.524736796265863,,692,69.2,573.6924811623203,216,21.6,200.0754619777218
1991,,6.3361091405773795,,17.190507801159512,0.34135251700638614,,4.555577565875809,,45.830218246321145,,38.1685468465509,17.587463455213356,,19.443138762985892,,460,46,553.9920536442954,156,15.6,187.13353761442156
1992,,3.350305356848076,,16.209112041286257,0.110847495759346,,4.1733851297680955,,43.91068073029734,,36.35522086699284,15.62177113099454,,17.562846344411827,,400,40,534.9681328910214,129,12.9,175.02876441683514
1993,,16.556707787488076,,15.283743575582635,0.21584205615203308,,3.823256917374213,,37.544170008985546,,34.62804307435367,14.842016577272476,,15.86439182878364,,751,75.1,516.5974878633577,227,22.7,163.70699108144828
1994,,23.33915192279298,,14.41120383949321,0.3794475898146161,,3.5025028847653976,,36.842624955467855,,32.98292070748951,13.983735882784416,,14.330190173146368,M07,538,53.8,498.85768526907157,188,18.8,153.11756909347676
1995,,14.305229812904095,,13.588476872591519,0.38919146958791373,,3.2086586705804847,,38.22860886029765,,31.41595544572454,11.775727524729387,,12.94435693563499,,735,73.5,481.7270621684485,220,22,143.2131261482403
1996,,9.912340167373525,,12.812718893819392,0.12267134151738543,,2.9394666622754895,,34.48543534450232,,29.923434171299796,10.409177016472574,,11.692543815022702,,409,40.9,465.18469952061844,120,12,133.94935422877978
1997,,10.049639187247838,,12.081248471869777,0.15093303138555672,,2.692858650828648,,22.966452133321802,,28.501820170679252,8.00812641910789,,10.561790094790755,,359,35.9,449.21039663829225,113,11.3,125.28481139176357
1998,,8.696292321891068,,11.391537256738266,0.12929861851786056,,2.4669399406384795,,24.20142969036816,,27.14774475387202,8.595999069334525,,9.540388453630982,,331,33.1,433.7846465197162,87,8.7,117.18073637489276
1999,,14.865002912086606,,10.741201240402141,0.35860346042421676,,2.259974792529367,M08,30.90794395758863,,25.857999271904433,9.716495943592577,,8.617763753046937,,549,54.9,418.88861202771847,92,9.2,109.6008751964681
2000,,10.631983260314554,,10.12799251642454,0.11254736193019459,,2.0703730880234823,,24.983686439009038,,24.62952751353144,8.146989855803701,,7.784363547069694,,243,24.3,404.5041028867608,61,6.1,102.51131897141666
2001,,7.974298158042125,,9.549791509996194,0.16363845720755385,,1.8966781124201715,M09,10.899714716438503,,23.459418463164234,4.431897874571376,,7.031559180480291,,510,51,390.6135534699042,114,11.4,95.88035221819257
2002,,14.254126643577944,,9.004599651559543,0.1970037438482418,,1.7375553628202132,,19.783209647419223,,22.344899402860744,12.336862669806658,,6.351556451549421,,292,29.2,377.20000134856366,73,7.3,89.67831097800988
2003,,3.666628014609776,,8.490532468692578,0.16381699429227786,,1.5917822951058875,,21.906359691838727,,21.28332934202726,6.57344863057452,,5.737314914337727,,504,50.4,364.2470665788578,120,12,83.87745011164759
2004,M10,6.120614188738854,,8.005813072370902,0.13460415384603786,,1.4582389311037671,M10,21.79999916517066,,20.272192759266186,5.505828160606395,,5.182474985049249,M10,366,36.6,351.7389316992591,67,6.7,78.45181918019057
2005,,11.025303574062498,,7.548766015097077,0.2801652943869157,,1.335899253763972,,11.635772973267583,,19.309093641535494,3.6360251947739135,,4.681292097727131,,250,25,339.66032241511874,54,5.4,73.3771463544625
2006,,16.374315769226317,,7.117811499664429,0.1327966217003875,,1.223823324245171,,18.340827190250057,,18.391749806501082,5.003392076911921,,4.228577227572327,,215,21.5,327.9964889464791,69,6.9,68.63072983377988
2007,M11,9.172912409154561,,6.71145991853914,0.2082573011662453,,1.121150060340614,M11,13.157550786966846,,17.51798749462323,3.583895825048903,,3.8196431660874786,M11,269,26.9,316.73318801639687,56,5.6,64.19133628832964
2008,,5.5170179229900445,,6.328306704986638,0.17822965923881656,,1.0270906207618455,,17.418580930026817,,16.68573621816587,4.672021348067869,,3.450255991804432,,297,29.7,305.8566654577816,64,6.4,60.03910587081228
2009,M12,5.434267428811006,,5.967027478143146,0.1011795112488564,,0.9409223444508953,,19.761323385366833,,15.893023854918578,5.3540942011248,,3.116591234142983,,288,28.8,295.3536394175101,70,7,56.155463372428
2010,,8.148338887843991,,5.6263734652522706,0.1876764968255016,,0.8619831983571918,,13.798106226439621,,15.137971975010398,3.304910821441575,,2.8151942765432465,,301,30.1,285.211284137307,66,6.6,52.52303512576493
